Data curenta,GT1030,GTX1050Ti,GTX1650,GTX1650Super,GTX1660,GTX1660Super,GTX1660Ti,NVIDIAQuadro,RTX2060,RTX2060Super,RTX3060,RTX3060Ti,RTX3070,RTX3070Ti,RTX3080,RTX3080Ti,RTX3090,RX550,RX580,RX6600,RX6600XT,RX6700XT,RX6800XT,RX6900XT
2021-10-18,,1395.96,1799.99,,,,,,3799.99,,4717.663333333333,4390.351428571428,,5932.0,,10839.5,13999.494999999999,,,,4032.3333333333335,5199.99,,
2021-10-19,,1395.96,1799.99,,,,,,3799.99,,4483.165,4390.351428571428,,5932.0,,10839.5,13999.494999999999,,,,4032.3333333333335,5199.99,,
2021-10-20,,1397.2849999999999,1699.99,,,,,,3799.99,,4896.331666666666,4404.554444444444,,6155.110000000001,,10839.5,13611.92,,,,4032.3333333333335,5439.99,,
2021-10-21,,1392.545,1699.99,,2754.99,,,,3826.99,,4435.8724999999995,4530.397999999999,5299.99,5932.0,,10839.5,13999.0,,,,4032.3333333333335,5439.99,,
2021-10-22,,1394.6799999999998,1699.99,,2754.99,,,,3199.99,,4436.2474999999995,4491.221111111111,5299.99,5932.0,7999.0,10839.5,15393.5,,,,4149.0,5439.99,,
2021-10-23,,1393.22,1799.99,,2699.99,3100.0,,,3199.99,,4458.125,4625.397999999999,5299.99,,7999.0,11249.0,16522.03,,,,4149.0,5191.5,,
2021-10-24,,1393.51,1799.99,,2699.99,3100.0,,,3199.99,,4457.5,4557.93625,5299.99,,7999.0,11023.5,15499.0,,,,4149.0,5568.03,,
2021-10-25,,1438.02,2580.4,,2699.0,3100.0,,,3199.99,,4557.5,4556.446,5499.99,,7847.54,11023.5,17999.99,,,,4299.0,6232.82,,
2021-10-26,,1438.02,2565.02,,2689.99,3100.0,,,3299.99,,4076.83,4705.05875,5449.99,,7842.74,10710.066666666668,16299.495,,,,3699.0,,,
2021-10-27,,1947.27,1799.99,,2689.99,3100.0,,,3263.5,,4076.83,4769.245,5449.99,6998.99,,10492.066666666668,16073.663333333336,,,,3699.0,,,
2021-10-28,,1648.135,1799.99,,2689.99,3100.0,,,3299.99,,4117.245,4824.424285714286,5352.599999999999,6998.99,,10727.066666666668,15849.495,,,,3699.0,,,
2021-10-29,,1956.55,2481.16,,2689.99,3100.0,,7135.44,3266.135,,4429.09,4674.197999999999,5360.47,,,10743.073333333334,14349.494999999999,,,,3699.0,,,
2021-10-30,,1661.095,2449.78,,2689.99,3100.0,,,3266.965,,4499.64,4638.197999999999,5431.599999999999,6719.99,,11049.0,16433.67,,3263.5,,4518.86,,,
2021-10-31,,1621.0,2449.78,,2689.99,3100.0,,,3257.7299999999996,,4464.4766666666665,4721.87125,5637.745,6998.99,,11049.0,16433.67,,,,4518.86,,,
2021-11-01,,1621.0,2449.78,,2689.99,3100.0,,,3257.7299999999996,,4464.4766666666665,4721.87125,5637.745,6998.99,,11049.0,16433.67,,,,4518.86,,,
2021-11-02,,1621.0,2166.425,,2689.99,3100.0,,,3369.495,,4822.833333333333,4668.137142857143,5637.745,6998.99,,11049.0,15499.0,,,,4518.86,,,
2021-11-03,,1349.0,1792.95,,2698.99,3100.0,,,3269.005,,4301.0675,4746.495,5592.329999999999,,,11049.0,15499.0,,3268.0,,4525.69,,,
2021-11-04,,1699.99,1842.6950000000002,,2689.99,3100.0,,,3414.5150000000003,,4108.1224999999995,4759.396,5432.663333333333,,,11049.0,15165.666666666666,,3263.5,,4524.45,,,
2021-11-05,,1550.25,1843.75,,2689.99,3100.0,,,4381.76,,4119.6224999999995,5079.396,5399.495,6719.0,,10852.25,15249.0,,3263.5,,4530.04,,,
2021-11-06,,1463.2,1843.8600000000001,1999.0,2689.99,3100.0,,,3347.0,,4064.0,4930.58,5580.995,6719.0,,11049.0,17499.333333333332,,,,4530.04,,,
2021-11-07,,1575.815,2038.6100000000001,,2689.99,3100.0,2879.65,,4381.76,,4072.75,4680.415,5632.663333333333,6719.0,,11718.75,18499.5,,,,4530.04,,,
2021-11-09,,1699.99,2036.9850000000001,,2689.99,3100.0,2879.65,,3890.5699999999997,,4291.323333333334,5042.8775000000005,5499.0,6719.0,,11432.333333333334,19999.5,,,,4529.43,,,
2021-11-11,550.46,1662.245,1744.77,,2689.99,3100.0,4009.67,,3399.99,,4185.7075,4950.745,5680.75,6998.99,,12032.333333333334,18499.0,,,,3399.0,,,
2021-11-12,680.99,1446.7,1835.915,,2699.0,3100.0,3484.505,,3237.19,,4276.62,4798.396,5620.166666666667,,,10832.333333333334,16749.0,,,,3399.0,,,
2021-11-13,,1446.7,1835.125,,2689.99,3313.62,,,3237.19,,4217.373333333333,5180.564285714286,5659.25,,,10832.333333333334,16749.0,,,,2999.0,,,7599.99
2021-11-14,529.85,1583.0,2249.0,,3684.87,3310.45,,,3399.99,,4415.403333333333,5137.2,5921.495,,,11165.666666666666,17999.99,,,,3498.99,,,7599.99
2021-11-15,529.85,1583.0,2249.0,,3684.87,3310.45,,,3399.99,,4415.403333333333,5137.2,5921.495,,,11165.666666666666,17999.99,,,,3498.99,,,7599.99
2021-11-16,,1499.0,2499.0,,3669.47,3314.1099999999997,3569.0,,3498.0,,4379.67,5362.453333333334,5921.495,,8319.0,11165.666666666666,17999.99,,,,3499.0,,,7599.99
2021-11-17,,1499.0,2432.99,,3766.08,3326.5,,,3299.99,,4356.606,4936.8675,5898.995,,,10899.0,14999.0,,,,3498.99,,,7599.99
2021-11-18,,1499.0,2432.99,,3766.08,3326.5,,,3299.99,,4356.606,4936.8675,5898.995,,,10899.0,14999.0,,,,3498.99,,,7599.99
2021-11-19,,1499.99,,,3783.5,3326.5,3448.0,,3299.99,,4363.694,4899.66,5608.82,,8899.99,10899.0,17078.31,,,,3498.99,,,8399.0
2021-11-20,,1549.99,,,3806.5,3100.0,,,3399.99,5693.17,4139.0,5255.13,5602.063333333333,,8397.0,10951.406666666668,17078.31,,,3331.5,3565.6633333333334,,,8399.0
2021-11-21,,1549.99,1649.99,,3806.5,3100.0,,,3499.99,5693.17,4660.493333333333,5289.045,5587.8966666666665,,,11599.0,17078.31,,,3307.5,3565.6633333333334,,,8399.0
2021-11-22,,1549.99,1649.99,,3806.5,3100.0,,,3399.99,5620.8,4698.083333333333,5239.594,5602.063333333333,7755.0,,11499.0,17079.0,,,3307.5,3624.245,,,8399.0
2021-11-23,,1549.99,1649.99,,3758.1,3100.0,,,3199.0,,4200.635,5132.993333333333,5581.0233333333335,7755.0,,11499.0,17079.0,,,3307.5,3632.66,,,8399.0
2021-11-24,,1549.99,1649.99,,,3100.0,,,3199.0,,4095.83,5141.897999999999,5715.4575,7755.0,,10899.0,17077.96,,,3355.0,3699.495,,,8499.99
2021-11-25,,1549.99,1649.99,,,3100.0,,,3199.0,,4133.42,5018.598,5579.705,7600.28,,10899.0,17077.96,,,,3632.66,,,8499.99
2021-11-26,,1549.99,1649.99,,,3499.99,,,3199.0,,4179.636,5091.376,5747.586666666667,7600.13,,11499.0,17077.96,,,3330.99,3665.9966666666664,,,8499.99
2021-11-27,,1549.99,1634.99,,,3499.99,,,3199.0,,4454.2339999999995,4924.0,5725.356,,,11049.0,16999.99,,,4473.67,3565.6633333333334,,,8499.99
2021-11-28,,2325.33,1634.99,,,3499.99,,,3498.0,,4391.197999999999,5105.4974999999995,5556.945,,8299.0,11049.0,15999.99,,,4535.55,3599.0,,,8499.99
2021-11-29,,2325.33,1634.99,,,3499.99,,,3498.0,,4391.197999999999,5105.4974999999995,5556.945,,8299.0,11049.0,15999.99,,,4535.55,3599.0,,,8499.99
